iter	Passed	Remaining
437	1247	1601
438	1248	1595
439	1250	1591
440	1251	1586
441	1252	1581
442	1253	1576
443	1254	1571
444	1256	1566
445	1257	1561
446	1258	1556
447	1259	1551
448	1260	1546
449	1271	1554
450	1272	1549
451	1273	1544
452	1274	1539
453	1275	1534
454	1276	1529
455	1277	1524
456	1278	1519
457	1279	1514
458	1280	1509
459	1281	1504
460	1282	1499
461	1283	1494
462	1284	1490
463	1285	1485
464	1286	1480
465	1287	1475
466	1288	1470
467	1289	1466
468	1290	1461
469	1291	1456
470	1292	1451
471	1293	1447
472	1294	1442
473	1295	1437
474	1296	1432
475	1297	1428
476	1298	1423
477	1306	1427
478	1308	1422
479	1309	1418
480	1310	1413
481	1311	1409
482	1312	1405
483	1313	1400
484	1314	1396
485	1315	1391
486	1317	1387
487	1318	1382
488	1319	1378
489	1320	1374
490	1321	1369
491	1328	1371
492	1329	1367
493	1330	1362
494	1332	1359
495	1334	1355
496	1335	1351
497	1336	1346
498	1337	1342
499	1338	1338
500	1341	1336
501	1343	1332
502	1344	1328
503	1346	1325
504	1350	1323
505	1351	1319
506	1352	1315
507	1353	1310
508	1356	1308
509	1357	1304
510	1358	1299
511	1359	1295
512	1361	1292
513	1362	1288
514	1364	1284
515	1373	1288
516	1375	1284
517	1376	1280
518	1377	1276
519	1378	1272
520	1379	1267
521	1380	1263
522	1381	1259
523	1382	1255
524	1383	1251
525	1384	1247
526	1385	1243
527	1388	1241
528	1392	1239
529	1393	1235
530	1404	1240
531	1405	1236
532	1406	1232
533	1408	1228
534	1409	1224
535	1410	1220
536	1411	1216
537	1412	1212
538	1413	1208
539	1414	1204
540	1415	1201
541	1416	1197
542	1417	1193
543	1418	1189
544	1420	1185
545	1421	1181
546	1422	1177
547	1423	1173
548	1424	1170
549	1425	1166
550	1426	1162
551	1427	1158
552	1429	1155
553	1430	1151
554	1431	1147
555	1432	1143
556	1433	1139
557	1433	1135
558	1445	1140
559	1446	1136
560	1447	1132
561	1448	1128
562	1449	1125
563	1450	1121
564	1451	1117
565	1452	1113
566	1453	1109
567	1454	1106
568	1455	1102
569	1456	1098
570	1457	1094
571	1458	1091
572	1459	1087
573	1460	1084
574	1461	1080
575	1462	1076
576	1463	1073
577	1467	1071
578	1469	1068
579	1470	1064
580	1471	1060
581	1472	1057
582	1476	1056
583	1477	1052
584	1489	1056
585	1490	1053
586	1491	1049
587	1492	1046
588	1493	1042
589	1496	1040
590	1497	1036
591	1498	1032
592	1499	1029
593	1500	1025
594	1501	1022
595	1502	1018
596	1503	1015
597	1504	1011
598	1505	1008
599	1506	1004
600	1507	1001
601	1508	997
602	1509	993
603	1510	990
604	1511	987
605	1512	983
606	1513	980
607	1514	976
608	1519	975
609	1520	972
610	1521	968
611	1535	973
612	1550	978
613	1551	975
614	1552	971
615	1553	968
616	1554	964
617	1557	962
618	1559	959
619	1560	956
620	1561	952
621	1562	949
622	1563	946
623	1564	942
624	1565	939
625	1566	935
626	1567	932
627	1567	928
628	1568	925
629	1569	922
630	1570	918
631	1571	915
632	1572	911
633	1573	908
634	1574	905
635	1575	901
636	1577	898
637	1578	895
638	1578	892
639	1579	888
640	1594	893
641	1595	889
642	1596	886
643	1597	883
644	1598	879
645	1601	877
646	1602	874
647	1603	871
648	1604	867
649	1605	864
650	1606	861
651	1608	858
652	1609	855
653	1610	852
654	1611	848
655	1612	845
656	1613	842
657	1614	839
658	1615	836
659	1617	833
660	1620	831
661	1621	828
662	1622	824
663	1623	821
664	1624	818
665	1625	815
666	1639	818
667	1640	815
668	1641	812
669	1642	809
670	1643	805
671	1646	803
672	1648	800
673	1649	797
674	1650	794
675	1651	791
676	1652	788
677	1653	785
678	1654	782
679	1655	778
680	1656	775
681	1657	772
682	1658	769
683	1659	766
684	1660	763
685	1661	760
686	1662	757
687	1663	754
688	1664	751
689	1665	748
690	1667	745
691	1669	742
692	1680	744
693	1681	741
694	1683	738
695	1684	735
696	1685	732
697	1686	729
698	1687	726
699	1688	723
700	1689	720
701	1690	717
702	1691	714
703	1692	711
704	1693	708
705	1694	705
706	1695	702
707	1696	699
708	1697	696
709	1698	693
710	1699	690
711	1700	687
712	1701	684
713	1702	681
714	1703	679
715	1704	676
716	1707	673
717	1708	671
718	1718	671
719	1720	668
720	1721	666
721	1722	663
722	1725	661
723	1726	658
724	1727	655
725	1728	652
726	1729	649
727	1730	646
728	1731	643
729	1732	640
730	1733	638
731	1734	635
732	1736	632
733	1737	629
734	1738	626
735	1739	623
736	1740	621
737	1741	618
738	1742	615
739	1743	612
740	1744	609
741	1748	608
742	1749	605
743	1750	602
744	1763	603
745	1765	600
746	1766	598
747	1767	595
748	1768	592
749	1769	589
750	1770	587
751	1771	584
752	1779	583
753	1780	581
